entry_date,exit_date,side,contracts,short_strike,long_strike,entry_credit,exit_debit,max_loss_dollars,net_pnl,return_on_risk_pct
2021-04-20,2021-04-29,bull_put,19,377.0,358.0,3.1772,0.6712,30063.29,4723.47,15.71
2021-05-04,2021-05-05,bull_put,19,380.0,361.0,3.1556,3.0651,30104.31,134.06,0.45
2021-05-05,2021-05-11,bull_put,18,381.0,361.0,3.4401,3.2318,29807.87,338.89,1.14
2021-05-11,2021-05-12,bull_put,19,379.0,360.0,3.2236,5.7855,29975.25,-4905.74,-16.37
2021-05-12,2021-05-13,bull_put,19,371.0,352.0,3.1883,2.0865,30042.17,2055.41,6.84
2021-05-13,2021-05-18,bull_put,18,376.0,356.0,3.4106,2.5884,29860.89,1443.95,4.84
2021-05-19,2021-05-27,bull_put,19,376.0,357.0,3.2223,0.7926,29977.66,4578.33,15.27
2021-06-03,2021-06-15,bull_put,20,383.0,364.0,3.2036,0.7415,31592.74,4884.28,15.46
2021-06-16,2021-06-17,bull_put,21,386.0,367.0,3.2074,3.1822,33164.41,11.01,0.03
2021-06-17,2021-06-18,bull_put,21,386.0,367.0,3.2398,4.7453,33096.35,-3203.39,-9.68
2021-07-08,2021-07-16,bull_put,19,396.0,376.0,3.4851,2.2962,31378.38,2220.92,7.08
2021-07-16,2021-07-19,bull_put,19,396.0,376.0,3.3844,5.133,31569.6,-3360.33,-10.64
2021-07-19,2021-07-20,bull_put,19,390.0,370.0,3.3083,1.9851,31714.27,2475.96,7.81
2021-07-20,2021-07-29,bull_put,19,396.0,376.0,3.4513,0.6248,31442.58,5332.25,16.96
2021-08-02,2021-08-12,bull_put,19,402.0,381.0,3.5375,0.6707,33178.84,5408.87,16.3
2021-08-17,2021-08-18,bull_put,20,408.0,387.0,3.5952,4.8993,34809.57,-2648.09,-7.61
2021-08-18,2021-08-19,bull_put,21,403.0,383.0,3.3762,3.1539,34909.99,424.92,1.22
2021-08-19,2021-08-27,bull_put,20,404.0,383.0,3.5276,0.7326,34944.74,5550.16,15.88
2021-09-08,2021-09-09,bull_put,20,414.0,393.0,3.5513,3.9849,34897.38,-907.21,-2.6
2021-09-09,2021-09-10,bull_put,20,412.0,391.0,3.4801,4.3516,35039.75,-1782.88,-5.09
2021-09-10,2021-09-13,bull_put,20,409.0,388.0,3.5263,3.1888,34947.31,635.02,1.82
2021-09-13,2021-09-14,bull_put,20,410.0,389.0,3.5204,4.086,34959.27,-1171.26,-3.35
2021-09-14,2021-09-15,bull_put,20,408.0,387.0,3.5637,2.6573,34872.63,1772.76,5.08
2021-11-10,2021-11-23,bull_put,19,427.0,405.0,3.6703,0.8313,34826.39,5356.09,15.38
2021-11-23,2021-11-26,bull_put,20,431.0,409.0,3.641,6.147,36717.99,-5051.91,-13.76
2021-11-26,2021-11-29,bull_put,19,423.0,401.0,3.7199,2.4186,34732.27,2434.45,7.01
2021-11-29,2021-11-30,bull_put,20,428.0,406.0,3.702,6.3526,36596.09,-5341.33,-14.6
2021-11-30,2021-12-01,bull_put,19,420.0,398.0,3.7388,5.119,34696.27,-2660.37,-7.67
2021-12-02,2021-12-03,bull_put,19,421.0,400.0,3.5161,4.5023,33219.44,-1911.76,-5.75
2021-12-13,2021-12-14,bull_put,19,430.0,408.0,4.2802,5.1214,33667.69,-1636.36,-4.86
2021-12-14,2021-12-17,bull_put,19,427.0,405.0,4.2951,4.6894,33639.22,-787.0,-2.34
2021-12-30,2022-01-05,bull_put,18,440.0,418.0,4.1153,5.3825,32192.45,-2316.99,-7.2
2022-01-05,2022-01-06,bull_put,18,433.0,411.0,3.7834,3.8229,32789.91,-107.08,-0.33
2022-01-06,2022-01-07,bull_put,18,433.0,411.0,3.8839,4.2726,32608.97,-735.69,-2.26
2022-01-07,2022-01-10,bull_put,18,431.0,409.0,3.757,3.8342,32837.34,-174.9,-0.53
2022-01-10,2022-01-11,bull_put,17,430.0,408.0,3.6251,2.6203,31237.41,1674.0,5.36
2022-03-16,2022-03-17,bear_call,50,427.0,436.0,2.4689,3.0455,32655.35,-2982.65,-9.13
2022-05-16,2022-05-17,bear_call,68,394.0,401.0,2.2417,2.8848,32356.73,-4509.35,-13.94
2022-05-17,2022-05-25,bear_call,57,402.0,410.0,2.5166,1.2302,31255.36,7218.37,23.09
2022-05-25,2022-05-26,bear_call,61,391.0,399.0,2.5579,3.2211,33196.72,-4167.52,-12.55
2022-05-26,2022-05-27,bear_call,58,399.0,407.0,2.5359,3.3487,31691.59,-4829.8,-15.24
2022-05-31,2022-06-01,bear_call,56,406.0,414.0,2.5327,2.2787,30616.61,1310.64,4.28
2022-06-22,2022-06-24,bear_call,64,370.0,377.0,2.1347,3.5119,31137.94,-8941.92,-28.72
2022-06-24,2022-06-27,bear_call,60,386.0,393.0,2.2121,2.0688,28727.5,739.78,2.58
2022-06-27,2022-07-01,bear_call,61,384.0,391.0,2.2138,1.3299,29195.79,5269.78,18.05
2022-07-08,2022-07-11,bear_call,54,384.0,392.0,2.3763,1.9365,30367.75,2266.96,7.47
2022-09-08,2022-09-09,bear_call,57,396.0,403.0,1.5467,2.2431,31083.78,-4083.29,-13.14
2022-10-04,2022-10-05,bear_call,61,375.0,382.0,2.1192,2.003,29772.85,586.85,1.97
2022-10-05,2022-10-06,bear_call,61,374.0,381.0,2.0883,1.7609,29961.3,1874.98,6.26
2022-10-19,2022-10-21,bear_call,62,366.0,373.0,2.0496,2.5324,30692.72,-3117.73,-10.16
2022-10-24,2022-10-25,bear_call,61,376.0,383.0,2.1178,2.6511,29781.67,-3375.33,-11.33
2022-10-26,2022-10-27,bear_call,59,379.0,386.0,2.1274,1.9064,28748.44,1185.98,4.13
2023-02-09,2023-02-10,bull_put,18,382.0,363.0,3.4431,3.1587,28002.36,475.99,1.7
2023-02-10,2023-02-16,bull_put,19,383.0,364.0,3.4726,2.7366,29502.1,1360.4,4.61
2023-02-16,2023-02-17,bull_put,18,384.0,364.0,3.6703,3.6676,29393.43,-31.08,-0.11
2023-02-17,2023-02-21,bull_put,18,383.0,363.0,3.4328,6.175,29821.0,-4971.93,-16.67
2023-02-21,2023-02-22,bull_put,18,375.0,356.0,3.5033,3.5945,27894.07,-200.26,-0.72
2023-02-22,2023-02-23,bull_put,18,374.0,355.0,3.3734,2.8508,28127.82,904.81,3.22
2023-02-23,2023-02-24,bull_put,18,376.0,357.0,3.4161,4.5021,28051.08,-1990.87,-7.1
2023-03-08,2023-03-09,bull_put,18,375.0,356.0,3.2909,5.4806,28276.33,-3977.47,-14.07
2023-04-05,2023-04-17,bull_put,17,384.0,365.0,3.7104,0.8279,25992.24,4866.41,18.72
2023-04-20,2023-04-25,bull_put,18,388.0,369.0,3.2023,4.4521,28435.91,-2285.7,-8.04
2023-04-25,2023-04-26,bull_put,16,383.0,363.0,3.3402,3.7429,26655.64,-676.23,-2.54
2023-04-26,2023-05-02,bull_put,17,381.0,362.0,3.1827,1.3248,26889.36,3124.52,11.62
2023-05-03,2023-05-04,bull_put,17,385.0,365.0,3.3979,4.1452,28223.51,-1304.35,-4.62
2023-05-04,2023-05-15,bull_put,17,382.0,363.0,3.2588,0.6891,26760.12,4334.4,16.2
2023-05-16,2023-05-23,bull_put,17,387.0,367.0,3.3831,1.7017,28248.75,2824.31,10.0
2023-05-23,2023-05-24,bull_put,18,391.0,371.0,3.5083,4.2963,29685.09,-1454.5,-4.9
2023-05-24,2023-06-01,bull_put,17,388.0,368.0,3.4444,0.7749,28144.55,4504.14,16.0
2023-06-07,2023-06-14,bull_put,18,402.0,382.0,3.3792,0.7869,29917.43,4630.18,15.48
2023-06-21,2023-06-23,bull_put,18,412.0,391.0,3.6364,3.8604,31254.5,-439.31,-1.41
2023-06-23,2023-06-26,bull_put,18,410.0,389.0,3.5289,3.9363,31447.94,-769.32,-2.45
2023-06-26,2023-06-30,bull_put,19,408.0,388.0,3.3845,0.8217,31569.37,4831.34,15.3
2023-07-06,2023-07-07,bull_put,18,416.0,395.0,3.5388,3.7621,31430.17,-438.02,-1.39
2023-07-07,2023-07-14,bull_put,18,415.0,394.0,3.5457,0.85,31417.75,4816.23,15.33
2023-07-21,2023-08-02,bull_put,18,428.0,406.0,3.6996,2.4362,32940.69,2238.15,6.79
2023-08-02,2023-08-03,bull_put,18,426.0,404.0,3.6716,3.9445,32991.18,-527.35,-1.6
2023-08-03,2023-08-04,bull_put,18,425.0,403.0,3.7234,4.2088,32897.88,-909.72,-2.77
2023-08-04,2023-08-07,bull_put,18,423.0,401.0,3.6902,2.7128,32957.73,1723.18,5.23
2023-08-10,2023-08-11,bull_put,19,422.0,401.0,3.597,3.6002,33065.64,-44.02,-0.13
2023-08-11,2023-08-14,bull_put,18,422.0,400.0,3.7098,3.0446,32922.33,1161.41,3.53
2023-09-05,2023-09-06,bull_put,19,425.0,404.0,3.5763,4.3183,33104.98,-1447.76,-4.37
2023-11-09,2023-11-15,bull_put,19,412.0,391.0,3.5297,0.6268,33193.6,5477.41,16.5
2023-11-29,2023-12-11,bull_put,19,432.0,410.0,3.772,0.7649,34633.13,5675.58,16.39
2024-01-02,2024-01-03,bull_put,19,451.0,428.0,3.949,4.9714,36196.84,-1980.45,-5.47
2024-01-03,2024-01-04,bull_put,19,447.0,424.0,3.8409,4.172,36402.36,-667.08,-1.83
2024-01-04,2024-01-05,bull_put,19,446.0,423.0,3.9505,3.7191,36194.0,401.74,1.11
2024-01-05,2024-01-17,bull_put,20,446.0,424.0,3.7423,1.3929,36515.37,4658.83,12.76
2024-01-17,2024-01-24,bull_put,19,450.0,427.0,3.7724,0.7453,36532.39,5713.54,15.64
2024-01-31,2024-02-07,bull_put,19,461.0,437.0,4.1237,0.6949,37764.88,6476.77,17.15
2024-02-13,2024-02-20,bull_put,20,471.0,447.0,4.0064,2.6275,39987.24,2717.77,6.8
2024-02-20,2024-02-29,bull_put,20,474.0,450.0,4.1404,0.7259,39719.27,6788.98,17.09
2024-03-06,2024-03-15,bull_put,20,486.0,461.0,4.161,2.1214,41677.9,4039.21,9.69
2024-03-15,2024-03-26,bull_put,21,488.0,463.0,4.2816,1.0221,43508.65,6802.88,15.64
2024-03-26,2024-04-02,bull_put,22,496.0,471.0,4.1774,3.3803,45809.79,1709.65,3.73
2024-04-02,2024-04-03,bull_put,22,496.0,471.0,4.17,3.9506,45825.98,438.73,0.96
