entry_date,exit_date,side,contracts,short_strike,long_strike,entry_credit,exit_debit,max_loss_dollars,net_pnl,predicted_win_probability
2021-03-19,2021-03-23,bull_put,106,356.0,338.0,3.7096,3.5441,151477.98,1542.92,0.5
2021-03-24,2021-03-25,bull_put,109,355.0,337.0,3.8798,2.8566,153909.85,10934.99,0.5
2021-03-25,2021-04-01,bull_put,106,357.0,338.0,3.4903,0.6478,164402.59,29919.04,0.5
2021-04-20,2021-04-29,bull_put,123,377.0,358.0,3.1772,0.6712,194620.23,30578.27,0.5
2021-05-04,2021-05-05,bull_put,142,380.0,361.0,3.1556,3.0651,224990.14,1001.96,0.5
2021-05-05,2021-05-11,bull_put,136,381.0,361.0,3.4401,3.2318,225215.02,2560.49,0.5
2021-05-11,2021-05-12,bull_put,145,379.0,360.0,3.2236,5.7855,228758.46,-37438.55,0.5
2021-05-12,2021-05-13,bull_put,121,371.0,352.0,3.1883,2.0865,191321.2,13089.7,0.5
2021-05-13,2021-05-18,bull_put,123,376.0,356.0,3.4106,2.5884,204049.39,9866.97,0.5
2021-05-19,2021-05-27,bull_put,136,376.0,357.0,3.2223,0.7926,214576.95,32771.2,0.5
2021-06-03,2021-06-15,bull_put,156,383.0,364.0,3.2036,0.7415,246423.41,38097.4,0.5
2021-06-16,2021-06-17,bull_put,180,386.0,367.0,3.2074,3.1822,284266.41,94.39,0.7668
2021-06-17,2021-06-18,bull_put,181,386.0,367.0,3.2398,4.7453,285259.06,-27610.14,0.8137
2021-07-08,2021-07-16,bull_put,156,396.0,376.0,3.4851,2.2962,257633.01,18234.9,0.6942
2021-07-16,2021-07-19,bull_put,166,396.0,376.0,3.3844,5.133,275818.59,-29358.67,0.8126
2021-07-19,2021-07-20,bull_put,147,390.0,370.0,3.3083,1.9851,245368.33,19156.11,0.8761
2021-07-20,2021-07-29,bull_put,160,396.0,376.0,3.4513,0.6248,264779.62,44903.17,0.683
2021-08-02,2021-08-12,bull_put,178,402.0,381.0,3.5375,0.6707,310833.35,50672.6,0.7053
2021-08-17,2021-08-18,bull_put,207,408.0,387.0,3.5952,4.8993,360279.1,-27407.73,0.9073
2021-08-18,2021-08-19,bull_put,201,403.0,383.0,3.3762,3.1539,334138.47,4067.11,0.7559
2021-08-19,2021-08-27,bull_put,193,404.0,383.0,3.5276,0.7326,337216.74,53559.04,0.8121
2021-09-08,2021-09-09,bull_put,224,414.0,393.0,3.5513,3.9849,390850.7,-10160.77,0.6768
2021-09-09,2021-09-10,bull_put,217,412.0,391.0,3.4801,4.3516,380181.25,-19344.27,0.7778
2021-09-10,2021-09-13,bull_put,207,409.0,388.0,3.5263,3.1888,361704.67,6572.45,0.7209
2021-09-13,2021-09-14,bull_put,211,410.0,389.0,3.5204,4.086,368820.28,-12356.78,0.7023
2021-09-14,2021-09-15,bull_put,204,408.0,387.0,3.5637,2.6573,355700.87,18082.12,0.7946
2021-11-23,2021-11-26,bull_put,204,431.0,409.0,3.641,6.147,374523.46,-51529.47,0.6973
2021-11-26,2021-11-29,bull_put,176,423.0,401.0,3.7199,2.4186,321730.47,22550.66,0.93
2021-11-30,2021-12-01,bull_put,189,420.0,398.0,3.7388,5.119,345136.55,-26463.73,0.857
2024-06-21,2024-07-05,bull_put,142,523.0,496.0,4.6314,0.5816,317634.04,57223.26,0.6795
2024-07-17,2024-07-18,bull_put,162,535.0,507.0,4.7721,5.9238,376292.22,-18982.53,0.7238
2024-08-22,2024-09-03,bull_put,171,534.0,507.0,6.2225,4.0097,355295.39,37497.06,0.6536
2024-10-17,2024-10-23,bull_put,164,561.0,532.0,4.9536,5.3076,394360.66,-6133.45,0.6556
